Year,Team,2015,Last 3 Games Win %,Last Game Win %,Home,Away
2016,Golden State,0.83,0.0,0.0,0.909,0.745
2016,San Antonio,0.7929999999999999,0.0,0.0,0.935,0.652
2016,Cleveland,0.7090000000000001,1.0,1.0,0.8240000000000001,0.596
2016,Okla City,0.66,0.0,0.0,0.76,0.56
2016,Toronto,0.647,0.333,0.0,0.769,0.52
2016,LA Clippers,0.625,0.0,0.0,0.705,0.545
2016,Charlotte,0.573,0.333,0.0,0.727,0.422
2016,Miami,0.573,0.333,0.0,0.688,0.458
2016,Boston,0.568,0.333,0.0,0.682,0.455
2016,Atlanta,0.565,0.0,0.0,0.652,0.478
2016,Indiana,0.539,0.333,0.0,0.636,0.444
2016,Portland,0.527,0.333,0.0,0.696,0.362
2016,Chicago,0.512,1.0,1.0,0.634,0.39
2016,Detroit,0.512,0.0,0.0,0.605,0.419
2016,Washington,0.5,1.0,1.0,0.537,0.463
2016,Dallas,0.494,0.0,0.0,0.535,0.455
2016,Memphis,0.488,0.0,0.0,0.605,0.3720000000000001
2016,Utah,0.488,0.333,0.0,0.585,0.39
2016,Houston,0.483,0.333,0.0,0.5579999999999999,0.409
2016,Orlando,0.4270000000000001,0.333,0.0,0.575,0.28600000000000003
2016,Milwaukee,0.402,0.333,0.0,0.561,0.244
2016,Denver,0.402,0.333,0.0,0.439,0.366
2016,Sacramento,0.402,0.667,0.0,0.45,0.35700000000000004
2016,New York,0.39,0.333,0.0,0.439,0.342
2016,New Orleans,0.366,0.0,0.0,0.512,0.22
2016,Minnesota,0.354,0.667,1.0,0.342,0.366
2016,Phoenix,0.281,0.667,1.0,0.342,0.22
2016,Brooklyn,0.256,0.0,0.0,0.342,0.171
2016,LA Lakers,0.207,0.333,1.0,0.293,0.122
2016,Philadelphia,0.122,0.0,0.0,0.171,0.073
